run_id,run_role,seed,step,lambda,lambda_se,eta,eta_se,d,consistency,keep_both,trade_both,W,n_cases,adapter_path,adapter_weight_sha256,nls_csv_sha256,dataset,estimator,status,d_recomputed
sft_full_seed2,full,2,12000,0.2436289,0.01011818,-0.4710697,0.02708651,0.5303411196327322,0.8424671385237614,0.08281092012133467,0.07472194135490394,0.9564871840291773,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-12000,de66bc063ef57dafd9fa4c9754f02241a67e7357d510425840b25045eadd747e,c65d8857d06ab7429ca9da01044471b55883bb459b78817484718f02b0fe52f8,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.5303411196327322
sft_full_seed2,full,2,14000,0.27897109,0.01056627,-0.31005241,0.02688326,0.4170819655686352,0.8424671385237614,0.10525783619817998,0.05227502527805865,0.9612635917192563,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-14000,2c58352564c2c4ec11973122c9bc21765d8c11af21101f0d4e375d6a7cca5387,8587fbc0f5968ea48a3e1442a308a30f79fb524743d8c4ecff1a481a01a27f79,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.4170819655686352
sft_full_seed2,full,2,16000,0.21520524,0.00939401,-0.3769295,0.02670262,0.43403818183854237,0.8555106167846309,0.0839231547017189,0.06056622851365015,0.9669192428941034,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-16000,0832e5e49b9cf15edcf7fdaae917d505e8d7908d563fa413d25b9e0c6fbc8117,34896020b7b18d6a32ff0d02f419b2f6c6eaa695e417ff9d34cecd83ddd0b9a2,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.43403818183854237
sft_full_seed2,full,2,18000,0.28823388,0.00999873,-0.37340195,0.02693788,0.4717073095084036,0.8600606673407483,0.09403437815975733,0.04590495449949444,0.9688034021918329,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-18000,d3653fe2a1b702a3cbb4bc00fd565b1f9f096020b45a715a771905a2e4401f41,5e58a4e2214222616db8d11d33e96b1d815d6d7d8e070a185bfff1241468e7c7,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.4717073095084036
sft_full_seed2,full,2,20000,0.10895612,0.00740651,-0.43588388,0.02575178,0.449295218012955,0.8682507583417594,0.054196157735085945,0.0775530839231547,0.9720788662640739,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-20000,e5d571a7df476c35845b2f8759d3ac0060efdcd15a08f7590a1c7b974f1435c9,30cbab32e6fc415c38c8cf60686eb00403a19605ee07d11a28320127982b01ff,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.449295218012955
sft_full_seed2,full,2,22000,0.151122,0.00766815,-0.44251276,0.02624106,0.4676060325175645,0.871587462082912,0.06117290192113246,0.0672396359959555,0.9729286419988177,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-22000,a50931cea7723c0fefc5ef592be8554209f9dcb94fe2b5b2626985d6eb4e3e05,a3f4609a4e4d4f19c8e27aede576e99507d6c34bce92b003c34b4b6ac92dd626,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.4676060325175645
sft_full_seed2,full,2,24000,0.08935778,0.00687492,-0.51943827,0.02583272,0.527068239592485,0.867644084934277,0.04499494438827098,0.08736097067745197,0.9733383135399051,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-24000,8a8f77dd0801f460acbe0aff93c8748c929ce245041f1fed22cc87c35c733ff6,022f2db777c02945c78e9b803c25b448b169460ec7631f6e133b12074f51b672,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.5270682395924852
sft_full_seed2,full,2,26000,0.17591451,0.00780368,-0.39081745,0.02595953,0.42858394049829096,0.8724974721941355,0.07027300303336703,0.05722952477249747,0.9736715180555214,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-26000,db03ce97ebbe2ef16f2def4ca3a7bf6603efc93a2d4def97d44c8a9f07ed6f97,5f2687192a70d5604a8e4b5ad387f6ce97ae1e7aaa5ff780672e04b2d4d8c86d,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.42858394049829096
sft_full_seed2,full,2,28000,0.16729596,0.00772326,-0.38527947,0.02590691,0.4200335798907065,0.8746208291203236,0.06764408493427705,0.057735085945399396,0.9738771992407916,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-28000,b0aa741c610bfef2b0ab9ef972fbddf2b0ee6f4c0e4d11f698865789bd3bda96,33a245e82c2bc9017a9e5bb2afc4cdce6881bb7a537aeb59c3dacb89d8061971,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.4200335798907065
sft_full_seed2,full,2,30000,0.1390927,0.00743405,-0.40629853,0.02596118,0.4294476390358327,0.8744186046511628,0.06137512639029322,0.06420626895854398,0.9740910575774834,9890,checkpoints/sft_qwen_delta_seed2/checkpoint-30000,1751388c55bac9cef91d69c3f76026c8c809377ef274da4acba27971879f79c3,432156adb7c0b606c66462dec43b09727a4c1d232f6b4f3c721e5df57b72afe4,test_goods (VALIDATION),"Model A NLS, structural link scale T=1",VERIFIED,0.4294476390358328
