kind,label,seed_a,step_a,seed_b,step_b,layer,family,module,cosine,diff_fro,fro_a,fro_b,rel_norm_change,rel_diff_fro,d_eff_rank,d_energy_share,d_rank90
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,attention,v_proj,0.8618101712,0.006029572356,0.008390225089,0.01150208841,0.3708915181,0.7186425027,-0.0464172491,8.883039625e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,attention,o_proj,0.8600729484,0.01708579739,0.0234963905,0.03238366706,0.3782400773,0.7271668976,-0.2721713679,0.0007216962135,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,mlp,gate_proj,0.85001496,0.03837603545,0.0502711146,0.07050691803,0.4025334149,0.763381432,-0.3846258266,0.003686945027,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,mlp,up_proj,0.8580437787,0.03806620302,0.05243272203,0.0718950902,0.3711874457,0.726000893,0.3003636424,0.003474127949,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,7,mlp,down_proj,0.8832757866,0.01882041941,0.02987546605,0.03895831212,0.3040235772,0.6299623704,-0.5944213202,0.0007678115383,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,attention,q_proj,0.8747891271,0.01508424206,0.02226512932,0.03002069473,0.3483278853,0.6774827958,1.711948852,0.0005572589877,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,attention,k_proj,0.8744853263,0.005857035318,0.008361035148,0.0115374144,0.3799026316,0.7005155719,0.2145252912,9.210421028e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,attention,v_proj,0.8737044162,0.006238459235,0.009061652175,0.01233161112,0.3608568156,0.688446115,-0.03441728399,9.856243782e-05,0
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,attention,o_proj,0.8748178512,0.01777625915,0.02576323635,0.0351958938,0.3661285916,0.6899854859,-0.5147430673,0.0008181301691,-1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,mlp,gate_proj,0.8580741008,0.03766679986,0.05276200465,0.07143986086,0.3540020197,0.7139000899,0.1519309951,0.003225158735,1
within_seed,seed1 2k->selected(4000),1,2000,1,4000,8,mlp,up_proj,0.8699564204,0.03903001624,0.05611668481,0.07634290487,0.3604314854,0.69551536,-0.5203369033,0.003771719073,0
