seed,step,role,layer,family,module,sub_block,a_rows,a_cols,b_rows,b_cols,n_trainable,base_rows,base_cols,base_numel,rank,alpha,scale,delta_fro,delta_spec,delta_rms,base_fro,base_spec,rel_fro,rel_spec,energy,energy_share,energy_rank,energy_cumshare,norm_energy_share,norm_energy_rank,stable_rank,eff_rank_entropy,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16,rank90,rank95,rank99,sv01,sv02,sv03,sv04,sv05,sv06,sv07,sv08,sv09,sv10,sv11,sv12,sv13,sv14,sv15,sv16
2,2000,first_saved,14,attention,v_proj,self_attn,16,3584,512,16,65536,512,3584,1835008,16,32,2,0.009993439827,0.006488373729,7.377275816e-06,19.75801698,1.436823609,0.0005057916407,0.00451577611,9.986883958e-05,0.0003398727686,163,0.992724653,0.005512864152,77,2.372238168,6.209500109,0.4215428338,0.6682797987,0.8086570269,0.9274429564,1,7,10,14,0.006488373729,0.004964003864,0.002761252266,0.002528793549,0.002183100614,0.001708700984,0.001473444308,0.001416470073,0.00125581815,0.001130865905,0.001077119485,0.001010619072,0.0008541182809,0.0007999720386,0.0007049317528,0.0005850738868
2,2000,first_saved,14,attention,o_proj,self_attn,16,3584,3584,16,114688,3584,3584,12845056,16,32,2,0.02838680235,0.02028938906,7.920424763e-06,54.60895525,4.86361508,0.0005198195464,0.004171668343,0.0008058105477,0.002742327466,101,0.9167532342,0.006354511865,61,1.957469517,4.634195285,0.5108636387,0.7695592008,0.8839760554,0.9505147895,1,5,8,14,0.02028938906,0.01443813051,0.007669582604,0.005777180196,0.004364424093,0.003727840943,0.003367995907,0.003054377445,0.002877959501,0.002717862647,0.00245035886,0.002307469693,0.002057700864,0.001914433796,0.001722369617,0.001418398627
2,2000,first_saved,14,mlp,gate_proj,mlp,16,3584,18944,16,360448,18944,3584,67895296,16,32,2,0.05599803757,0.03608608167,6.795993652e-06,136.8307712,12.15682623,0.0004092503249,0.002968380151,0.003135780211,0.01067166001,30,0.5203230115,0.004678333505,89,2.408053656,7.281704053,0.4152731387,0.6069272401,0.7503160607,0.8948147837,1,9,12,15,0.03608608167,0.02451499824,0.01541403098,0.01456171264,0.01266991471,0.01032208747,0.009720660066,0.009568321472,0.007995343471,0.007414800205,0.006888731948,0.006635351472,0.005799151208,0.00569127196,0.005604762416,0.004692156257
2,2000,first_saved,14,mlp,up_proj,mlp,16,3584,18944,16,360448,18944,3584,67895296,16,32,2,0.06217748892,0.04479783388,7.545939793e-06,136.2790228,5.110151387,0.0004562513559,0.008766439677,0.003866040128,0.01315687423,25,0.462049441,0.005767822948,73,1.926425985,5.506604255,0.5190959881,0.6984812507,0.8215968496,0.9238599362,1,7,10,15,0.04479783388,0.02633458987,0.0180133472,0.01230809361,0.01109634101,0.01076862791,0.008933627645,0.008743646979,0.007888722801,0.007140435576,0.006308168441,0.005910699417,0.005677490575,0.005391013606,0.004998657402,0.00448663737
2,2000,first_saved,14,mlp,down_proj,mlp,16,18944,3584,16,360448,3584,18944,67895296,16,32,2,0.03582897094,0.02937503283,4.348249861e-06,134.806716,9.680714936,0.0002657803113,0.003034386719,0.001283715158,0.004368728292,70,0.802936122,0.001915200439,178,1.487688302,3.442054348,0.672183816,0.8240464111,0.9119062054,0.9648706738,1,4,7,13,0.02937503283,0.01396238931,0.008746878411,0.006023210759,0.005086731214,0.00416912218,0.003805068391,0.003202550742,0.003177916069,0.002634818906,0.002588945279,0.002492519724,0.002286633821,0.00207659688,0.001695611628,0.001650238607
2,2000,first_saved,15,attention,q_proj,self_attn,16,3584,3584,16,114688,3584,3584,12845056,16,32,2,0.02265284636,0.01243062862,6.32054865e-06,62.19952571,4.431282996,0.0003641964485,0.002805198546,0.0005131514482,0.001746352558,117,0.9510077891,0.004046642198,104,3.320927358,8.132615419,0.3011207089,0.5173888414,0.7619088382,0.8994702662,1,9,11,15,0.01243062862,0.01053462412,0.008324286619,0.007495468149,0.005072397406,0.004220154953,0.004005002873,0.003318263807,0.003224968484,0.002944924629,0.002780471541,0.002669656353,0.002384140534,0.002265476325,0.001887573052,0.001810096011
2,2000,first_saved,15,attention,k_proj,self_attn,16,3584,512,16,65536,512,3584,1835008,16,32,2,0.008273208962,0.005403553392,6.107380987e-06,26.49714436,2.554430019,0.0003122302105,0.002115365601,6.844598653e-05,0.0002329347877,175,0.9961254693,0.003778289876,114,2.344169944,7.121595612,0.4265902318,0.578103116,0.7536122392,0.9111903179,1,8,11,15,0.005403553392,0.003220318126,0.002663602035,0.002217683314,0.001965380617,0.001873088212,0.001382559803,0.001225942503,0.00116950152,0.001074841807,0.0009338227934,0.0008278307162,0.0007972493474,0.0007467540382,0.0007182582927,0.0005377506848
2,2000,first_saved,15,attention,v_proj,self_attn,16,3584,512,16,65536,512,3584,1835008,16,32,2,0.01022629638,0.006657538913,7.549173283e-06,20.84346331,1.513636188,0.0004906236658,0.004398374568,0.0001045771376,0.0003558960075,161,0.99203914,0.005772767115,72,2.359442095,6.356184209,0.423829007,0.624634548,0.800921547,0.9411642091,1,6,9,14,0.006657538913,0.004582539546,0.003264140198,0.002789440539,0.002408367618,0.002225625433,0.001488635302,0.001302496819,0.00119273015,0.001039822483,0.0009190434425,0.0008781035042,0.000813814728,0.0007739889871,0.0006390286577,0.0006030132565
2,2000,first_saved,15,attention,o_proj,self_attn,16,3584,3584,16,114688,3584,3584,12845056,16,32,2,0.03004561061,0.02090105256,8.383261888e-06,55.32372416,4.436380813,0.0005430872752,0.004711284589,0.0009027387168,0.003072192571,98,0.9081595993,0.007118874161,55,2.066454058,5.058329266,0.4839207513,0.7372850598,0.8606727167,0.9499985258,1,6,9,14,0.02090105256,0.01512355021,0.00810443992,0.006760537594,0.00587900569,0.004656251733,0.00368834025,0.003284908594,0.003049698026,0.002812708292,0.002666718912,0.002436562678,0.002367203951,0.00190182303,0.001752655956,0.001608000283
2,2000,first_saved,15,mlp,gate_proj,mlp,16,3584,18944,16,360448,18944,3584,67895296,16,32,2,0.0592196105,0.04069692948,7.186967875e-06,135.1894024,11.29029455,0.0004380492068,0.003604594133,0.003506962268,0.01193486357,28,0.4988848024,0.005232107473,84,2.117423876,6.911014872,0.4722719958,0.5966757104,0.7503537194,0.8946093419,1,9,12,15,0.04069692948,0.02088729598,0.01763613115,0.01509668364,0.01232846916,0.01192169874,0.01101464372,0.00951097239,0.00841841831,0.007964402296,0.007500031647,0.006872046499,0.00638085235,0.006194786732,0.005321142717,0.004941545668
2,2000,first_saved,15,mlp,up_proj,mlp,16,3584,18944,16,360448,18944,3584,67895296,16,32,2,0.0635700625,0.04479311073,7.714944308e-06,137.7909675,5.104531584,0.000461351449,0.008775165751,0.004041152846,0.01375281631,23,0.4352302926,0.00602907713,67,2.014108347,6.096217062,0.4964976197,0.6476361557,0.7854678196,0.9218549026,1,7,10,14,0.04479311073,0.02471384075,0.01744041465,0.01590065274,0.01412384961,0.01273694451,0.0103278774,0.009098522624,0.00833154228,0.007897567546,0.00730796873,0.00612303683,0.005520731205,0.004849334267,0.004522175169,0.004320595066
2,2000,first_saved,15,mlp,down_proj,mlp,16,18944,3584,16,360448,3584,18944,67895296,16,32,2,0.03707566167,0.02627029824,4.499549847e-06,135.8289432,10.25074536,0.0002729584786,0.002562769565,0.001374604688,0.004678042751,67,0.7894126074,0.002050800354,177,1.991809568,4.076469131,0.5020560278,0.8238562449,0.9071793417,0.9627038534,1,4,7,13,0.02627029824,0.02103207282,0.00826407058,0.006800107124,0.005530065726,0.004326343605,0.0038865369,0.003452565592,0.003332877756,0.00291021269,0.002779123055,0.002663278657,0.002297078165,0.002178526158,0.002047465462,0.001630585351
