model_name,seed,step,lambda,lambda_se,eta,eta_se,d,consistency,keep_both_rate,trade_both_rate,hard_choice_yes_rate,target_agreement,parse_failure_rate,W_pseudo_utility,n,estimator_cond_proxy,clean_reduction
Qwen-7B-GRPO-qd-seed1-ckpt2000,seed1,2000,0.03175071,0.01529175,0.09098552,0.03123809,0.09636634493003508,0.657633973710819,0.2069767441860465,0.13538928210313447,0.46764408493427706,0.7109201213346815,0.0,0.8832,9890,843.6131970578174,True
Qwen-7B-GRPO-qd-seed1-ckpt4000,seed1,4000,0.05025486,0.01645616,1.14314243,0.03418435,1.1442465495774607,0.5693629929221435,0.4025278058645096,0.028109201213346816,0.32325581395348835,0.7065217391304348,0.0,0.8849,9890,3049.7830582327088,False
Qwen-7B-GRPO-qd-seed1-ckpt6000,seed1,6000,0.08315229,0.01543495,0.98334883,0.03246047,0.9868582597286264,0.637613751263903,0.3332659251769464,0.029120323559150656,0.36329625884732053,0.7381193124368048,0.0,0.9034,9890,130512.25419744795,True
Qwen-7B-GRPO-qd-seed1-ckpt8000,seed1,8000,0.16292992,0.01714199,1.3397448,0.03268985,1.3496156074817178,0.5540950455005056,0.43437815975733063,0.011526794742163803,0.3161779575328615,0.7275025278058646,0.0,0.8995,9890,749.3087970052748,False
Qwen-7B-GRPO-qd-seed1-ckpt10000,seed1,10000,-0.10498766,0.00906414,0.91666693,0.02615335,0.922659563060992,0.7443882709807886,0.20748230535894843,0.04812942366026289,0.45409504550050556,0.7841253791708797,0.0,0.9294,9890,36437.87670399221,True
Qwen-7B-GRPO-qd-seed1-ckpt12000,seed1,12000,-0.05558673,0.00852336,0.76031616,0.02397598,0.7623454254530807,0.7731041456016178,0.18028311425682508,0.04661274014155713,0.4621840242669363,0.804752275025278,0.0,0.9401,9890,7390.64156916724,True
Qwen-7B-GRPO-qd-seed1-ckpt14000,seed1,14000,-0.03484524,0.00882441,0.96034803,0.02492469,0.9609799839099348,0.7538928210313448,0.2147623862487361,0.03134479271991911,0.4403437815975733,0.8063700707785642,0.0,0.941,9890,4911.997816874278,True
Qwen-7B-GRPO-qd-seed1-ckpt16000,seed1,16000,0.30768435,0.01527768,0.85257063,0.02773524,0.9063919341948711,0.6929221435793731,0.29514661274014153,0.01193124368048534,0.39514661274014157,0.7961071789686552,0.0,0.9365,9890,5533.95034488668,False
Qwen-7B-GRPO-qd-seed1-ckpt18000,seed1,18000,0.20738535,0.01207072,0.63388015,0.02473009,0.666942822105947,0.7597573306370071,0.21496461071789685,0.025278058645096056,0.4308392315470172,0.8186046511627907,0.0,0.9479,9890,169197136273988.12,True
Qwen-7B-GRPO-qd-seed1-ckpt20000,seed1,20000,0.18741158,0.01067514,0.59697018,0.02368358,0.62569680846823,0.7747219413549039,0.19706774519716885,0.0282103134479272,0.4382204246713852,0.8260869565217391,0.0,0.9507,9890,9346.251404001405,True
Qwen-7B-GRPO-qd-seed1-ckpt22000,seed1,22000,0.16594159,0.01067352,0.62124962,0.02383675,0.6430300938850937,0.7783619817997978,0.19271991911021233,0.02891809908998989,0.44327603640040447,0.8296258847320526,0.0,0.9531,9890,23399.570839185395,True
Qwen-7B-GRPO-qd-seed1-ckpt24000,seed1,24000,0.2001426,0.01117181,0.54279293,0.02416396,0.5785164001069848,0.785540950455005,0.18543983822042467,0.029019211324570273,0.44914054600606673,0.8327098078867543,0.0,0.9545,9890,8854.918275779184,True
Qwen-7B-GRPO-qd-seed1-ckpt26000,seed1,26000,0.21957647,0.01188862,0.64893156,0.02509348,0.6850737155530743,0.7680485338725986,0.20990899898887766,0.02204246713852376,0.4350859453993933,0.8292214357937311,0.0,0.9529,9890,346200.96773737087,True
