seed,step,model_name,on_selection_grid,selected,exploratory,lambda,eta,d,rss,log10_cond_jacobian,spearman_alpha,spearman_beta,spearman_utility
seed2,2000,Qwen-7B-GRPO-qd-seed2-ckpt2000,True,False,False,0.83959365,0.48515638,0.9696876869255517,1233.089341341328,1.7366757465535776,0.8322943722943723,0.9761904761904763,0.8424531388310358
seed2,4000,Qwen-7B-GRPO-qd-seed2-ckpt4000,True,False,False,0.30890773,0.83224277,0.8877229375604901,1471.2723716240973,1.9749941124661725,0.8215584415584415,0.9761904761904763,0.8328469541320422
seed2,6000,Qwen-7B-GRPO-qd-seed2-ckpt6000,True,True,False,-0.04242123,0.65850618,0.6598711615557278,1612.6037842683324,16.533846482691764,0.8269016697588125,0.9761904761904763,0.8303440564123943
seed2,8000,Qwen-7B-GRPO-qd-seed2-ckpt8000,True,False,False,-0.01917745,0.88688694,0.8870942559452553,1315.7693950745847,17.218721782411052,0.8461842918985777,0.9761904761904763,0.8453329906551372
seed2,10000,Qwen-7B-GRPO-qd-seed2-ckpt10000,True,False,False,0.03122393,0.83418269,0.8347668501445664,1260.861721880394,16.88990621358245,0.8731972789115645,0.9761904761904763,0.8678504382601226
seed2,12000,Qwen-7B-GRPO-qd-seed2-ckpt12000,True,False,False,0.39738541,0.85817801,0.9457191236981667,1116.9970015367967,16.216466539564134,0.8987012987012986,0.9285714285714287,0.8894696031985997
seed2,14000,Qwen-7B-GRPO-qd-seed2-ckpt14000,True,False,False,-0.01508069,1.01925471,1.0193662693399563,1166.158136785365,18.088561428941,0.9052071737786023,0.9285714285714287,0.8803104859800239
seed2,16000,Qwen-7B-GRPO-qd-seed2-ckpt16000,True,False,False,0.02922679,0.80363931,0.8041705949803065,1139.7657695924881,17.62846940330617,0.9257513914656771,0.9285714285714287,0.8979018492615423
seed2,18000,Qwen-7B-GRPO-qd-seed2-ckpt18000,True,False,False,0.18775051,0.78026879,0.8025394935162532,1206.7453006486412,17.358829479349186,0.9358194186765616,0.9285714285714287,0.9130085704100404
seed2,20000,Qwen-7B-GRPO-qd-seed2-ckpt20000,True,False,False,-0.01848645,0.75528523,0.7555114343871676,1235.8348242789089,16.854670523147202,0.9389486703772417,0.9285714285714287,0.9093894848429854
seed2,22000,Qwen-7B-GRPO-qd-seed2-ckpt22000,True,False,False,0.00091784,0.77219425,0.7721947954780115,1192.2719142408744,16.904991158900103,0.9437600494743351,0.9285714285714287,0.9145494015018825
seed2,24000,Qwen-7B-GRPO-qd-seed2-ckpt24000,True,False,False,0.03515542,0.77460069,0.7753980477818166,1217.4414794867985,18.23947118626557,0.9472356215213357,0.9285714285714287,0.9173587495062776
seed2,26000,Qwen-7B-GRPO-qd-seed2-ckpt26000,True,False,False,0.07467805,0.82248346,0.8258667284286092,1168.49639061129,17.054987977501227,0.9505504019789733,0.9285714285714287,0.9195579844213199
seed2,28000,Qwen-7B-GRPO-qd-seed2-ckpt28000,True,False,False,0.0159873,0.79372284,0.7938838331260788,1182.3135133787664,17.621522092569098,0.9486703772418058,0.9285714285714287,0.9179096523542436
